2CO 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2CO 11:16.21 . καυχήσωμαι. καυχήσωμαι. V-ADS-1S 2744 καυχάομαι ! καυχάομαι
2CO 11:17.1 . ὃ ὃ R-ASN 3739 ὅς ! ὅς
2CO 11:17.2 . λαλῶ λαλῶ V-PAI-1S 2980 λαλέω ! λαλέω
2CO 11:17.3 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 11:17.4 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 11:17.5 . κύριον κύριον N-ASM 2962 κύριος ! κύριος
2CO 11:17.6 . λαλῶ, λαλῶ, V-PAI-1S 2980 λαλέω ! λαλέω
2CO 11:17.7 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 11:17.8 . ὡς ὡς ADV 5613 ὡς ! ὡς
2CO 11:17.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:17.10 . ἀφροσύνῃ, ἀφροσύνῃ, N-DSF 877 ἀφροσύνη ! ἀφροσύνη
2CO 11:17.11 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:17.12 . ταύτῃ ταύτῃ D-DSF 3778 οὗτος ! οὗτος
2CO 11:17.13 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 11:17.14 . ὑποστάσει ὑποστάσει N-DSF 5287 ὑπόστασις ! ὑπόστασις
2CO 11:17.15 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 11:17.16 . καυχήσεως. καυχήσεως. N-GSF 2746 καύχησις ! καύχησις
2CO 11:18.1 . ἐπεὶ ἐπεὶ CONJ 1893 ἐπεί ! ἐπεί
2CO 11:18.2 . πολλοὶ πολλοὶ A-NPM 4183 πολύς ! πολύς
2CO 11:18.3 . καυχῶνται καυχῶνται V-PNI-3P 2744 καυχάομαι ! καυχάομαι
2CO 11:18.4 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 11:18.5 . σάρκα, σάρκα, N-ASF 4561 σάρξ ! σάρξ
2CO 11:18.6 . κἀγὼ κἀγὼ P-1NS-K 2504 κἀγώ ! κἀγώ
2CO 11:18.7 . καυχήσομαι. καυχήσομαι. V-FDI-1S 2744 καυχάομαι ! καυχάομαι
2CO 11:19.1 . ἡδέως ἡδέως ADV 2234 ἡδέως ! ἡδέως
2CO 11:19.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 11:19.3 . ἀνέχεσθε ἀνέχεσθε V-PNI-2P 430 ἀνέχομαι ! ἀνέχω
2CO 11:19.4 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
2CO 11:19.5 . ἀφρόνων ἀφρόνων A-GPM 878 ἄφρων ! ἄφρων
2CO 11:19.6 . φρόνιμοι φρόνιμοι A-NPM 5429 φρόνιμος ! φρόνιμος
2CO 11:19.7 . ὄντες· ὄντες· V-PAP-NPM 1510 εἰμί ! εἰμί
2CO 11:20.1 . ἀνέχεσθε ἀνέχεσθε V-PNI-2P 430 ἀνέχομαι ! ἀνέχω
2CO 11:20.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 11:20.3 . εἴ εἴ COND 1487 εἰ ! εἰ
2CO 11:20.4 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:20.5 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2CO 11:20.6 . καταδουλοῖ, καταδουλοῖ, V-PAI-3S 2615 καταδουλόω ! καταδουλόω
2CO 11:20.7 . εἴ εἴ COND 1487 εἰ ! εἰ
2CO 11:20.8 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:20.9 . κατεσθίει, κατεσθίει, V-PAI-3S 2719 κατεσθίω ! κατεσθίω
2CO 11:20.10 . εἴ εἴ COND 1487 εἰ ! εἰ
2CO 11:20.11 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:20.12 . λαμβάνει, λαμβάνει, V-PAI-3S 2983 λαμβάνω ! λαμβάνω
2CO 11:20.13 . εἴ εἴ COND 1487 εἰ ! εἰ
2CO 11:20.14 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:20.15 . ἐπαίρεται, ἐπαίρεται, V-PMI-3S 1869 ἐπαίρω ! ἐπαίρω
2CO 11:20.16 . εἴ εἴ COND 1487 εἰ ! εἰ
2CO 11:20.17 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:20.18 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 11:20.19 . πρόσωπον πρόσωπον N-ASN 4383 πρόσωπον ! πρόσωπον
2CO 11:20.20 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2CO 11:20.21 . δέρει. δέρει. V-PAI-3S 1194 δέρω ! δέρω
2CO 11:21.1 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 11:21.2 . ἀτιμίαν ἀτιμίαν N-ASF 819 ἀτιμία ! ἀτιμία
2CO 11:21.3 . λέγω, λέγω, V-PAI-1S 3004 λέγω ! λέγω
2CO 11:21.4 . ὡς ὡς ADV 5613 ὡς ! ὡς
2CO 11:21.5 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 11:21.6 . ἡμεῖς ἡμεῖς P-1NP 2249 ἡμεῖς ! ἐγώ
2CO 11:21.7 . ἠσθενήκαμεν· ἠσθενήκαμεν· V-RAI-1P 770 ἀσθενέω ! ἀσθενέω
2CO 11:21.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:21.9 . ᾧ ᾧ R-DSN 3739 ὅς ! ὅς
2CO 11:21.10 . δ’ δ’ CONJ 1161 δέ ! δέ
2CO 11:21.11 . ἄν ἄν PRT 302 ἄν ! ἄν
2CO 11:21.12 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 11:21.13 . τολμᾷ, τολμᾷ, V-PAS-3S 5111 τολμάω ! τολμάω
2CO 11:21.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:21.15 . ἀφροσύνῃ ἀφροσύνῃ N-DSF 877 ἀφροσύνη ! ἀφροσύνη
2CO 11:21.16 . λέγω, λέγω, V-PAI-1S 3004 λέγω ! λέγω
2CO 11:21.17 . τολμῶ τολμῶ V-PAI-1S 5111 τολμάω ! τολμάω
2CO 11:21.18 . κἀγώ. κἀγώ. P-1NS-K 2504 κἀγώ ! κἀγώ
2CO 11:22.1 . Ἑβραῖοί Ἑβραῖοί A-NPM 1445 Ἑβραῖος ! Ἑβραῖος
2CO 11:22.2 . εἰσιν; εἰσιν; V-PAI-3P 1510 εἰμί ! εἰμί
2CO 11:22.3 . κἀγώ. κἀγώ. P-1NS-K 2504 κἀγώ ! κἀγώ
2CO 11:22.4 . Ἰσραηλεῖταί Ἰσραηλεῖταί N-NPM 2475 Ἰσραηλίτης ! Ἰσραηλίτης
2CO 11:22.5 . εἰσιν; εἰσιν; V-PAI-3P 1510 εἰμί ! εἰμί
2CO 11:22.6 . κἀγώ. κἀγώ. P-1NS-K 2504 κἀγώ ! κἀγώ
2CO 11:22.7 . σπέρμα σπέρμα N-NSN 4690 σπέρμα ! σπέρμα
2CO 11:22.8 . Ἀβραάμ Ἀβραάμ N-PRI 11 Ἀβραάμ ! Ἀβραάμ
2CO 11:22.9 . εἰσιν; εἰσιν; V-PAI-3P 1510 εἰμί ! εἰμί
2CO 11:22.10 . κἀγώ. κἀγώ. P-1NS-K 2504 κἀγώ ! κἀγώ
2CO 11:23.1 . διάκονοι διάκονοι N-NPM 1249 διάκονος ! διάκονος
2CO 11:23.2 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2CO 11:23.3 . εἰσιν; εἰσιν; V-PAI-3P 1510 εἰμί ! εἰμί
2CO 11:23.4 . παραφρονῶν παραφρονῶν V-PAP-NSM 3912 παραφρονέω ! παραφρονέω
2CO 11:23.5 . λαλῶ, λαλῶ, V-PAI-1S 2980 λαλέω ! λαλέω
2CO 11:23.6 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 11:23.7 . ἐγώ· ἐγώ· P-1NS 1473 ἐγώ ! ἐγώ
2CO 11:23.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:23.9 . κόποις κόποις N-DPM 2873 κόπος ! κόπος
2CO 11:23.10 . περισσοτέρως, περισσοτέρως, ADV-C 4056 περισσοτέρως ! περισσοτέρως
2CO 11:23.11 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:23.12 . πληγαῖς πληγαῖς N-DPF 4127 πληγή ! πληγή
2CO 11:23.13 . περισσοτέρως, περισσοτέρως, ADV-C 4056 περισσοτέρως ! περισσοτέρως
2CO 11:23.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:23.15 . φυλακαῖς φυλακαῖς N-DPF 5438 φυλακή ! φυλακή
2CO 11:23.16 . ὑπερβαλλόντως, ὑπερβαλλόντως, ADV 5234 ὑπερβαλλόντως ! ὑπερβαλλόντως
2CO 11:23.17 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:23.18 . θανάτοις θανάτοις N-DPM 2288 θάνατος ! θάνατος
2CO 11:23.19 . πολλάκις· πολλάκις· ADV 4178 πολλάκις ! πολλάκις
2CO 11:24.1 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
2CO 11:24.2 . Ἰουδαίων Ἰουδαίων A-GPM 2453 Ἰουδαῖος ! Ἰουδαῖος
2CO 11:24.3 . πεντάκις πεντάκις ADV 3999 πεντάκις ! πεντάκις
2CO 11:24.4 . τεσσεράκοντα τεσσεράκοντα A-NUI 5062 τεσσαράκοντα ! τεσσεράκοντα
2CO 11:24.5 . παρὰ παρὰ PREP 3844 παρά ! παρά
2CO 11:24.6 . μίαν μίαν A-ASF 1520 εἷς ! εἷς
2CO 11:24.7 . ἔλαβον, ἔλαβον, V-2AAI-1S 2983 λαμβάνω ! λαμβάνω
2CO 11:25.1 . τρὶς τρὶς ADV 5151 τρίς ! τρίς
2CO 11:25.2 . ἐραβδίσθην, ἐραβδίσθην, V-API-1S 4463 ῥαβδίζω ! ῥαβδίζω
2CO 11:25.3 . ἅπαξ ἅπαξ ADV 530 ἅπαξ ! ἅπαξ
2CO 11:25.4 . ἐλιθάσθην, ἐλιθάσθην, V-API-1S 3034 λιθάζω ! λιθάζω
2CO 11:25.5 . τρὶς τρὶς ADV 5151 τρίς ! τρίς
2CO 11:25.6 . ἐναυάγησα, ἐναυάγησα, V-AAI-1S 3489 ναυαγέω ! ναυαγέω
2CO 11:25.7 . νυχθήμερον νυχθήμερον N-ASN 3574 νυχθήμερον ! νυχθήμερον
2CO 11:25.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:25.9 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 11:25.10 . βυθῷ βυθῷ N-DSM 1037 βυθός ! βυθός
2CO 11:25.11 . πεποίηκα· πεποίηκα· V-RAI-1S 4160 ποιέω ! ποιέω
2CO 11:26.1 . ὁδοιπορίαις ὁδοιπορίαις N-DPF 3597 ὁδοιπορία ! ὁδοιπορία
2CO 11:26.2 . πολλάκις, πολλάκις, ADV 4178 πολλάκις ! πολλάκις
2CO 11:26.3 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.4 . ποταμῶν, ποταμῶν, N-GPM 4215 ποταμός ! ποταμός
2CO 11:26.5 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.6 . λῃστῶν, λῃστῶν, N-GPM 3027 λῃστής ! λῃστής
2CO 11:26.7 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.8 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 11:26.9 . γένους, γένους, N-GSN 1085 γένος ! γένος
2CO 11:26.10 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.11 . ἐξ ἐξ PREP 1537 ἐκ ! ἐκ
2CO 11:26.12 . ἐθνῶν, ἐθνῶν, N-GPN 1484 ἔθνος ! ἔθνος
2CO 11:26.13 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:26.15 . πόλει, πόλει, N-DSF 4172 πόλις ! πόλις
2CO 11:26.16 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.17 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:26.18 . ἐρημίᾳ, ἐρημίᾳ, N-DSF 2047 ἐρημία ! ἐρημία
2CO 11:26.19 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.20 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:26.21 . θαλάσσῃ, θαλάσσῃ, N-DSF 2281 θάλασσα ! θάλασσα
2CO 11:26.22 . κινδύνοις κινδύνοις N-DPM 2794 κίνδυνος ! κίνδυνος
2CO 11:26.23 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:26.24 . ψευδαδέλφοις, ψευδαδέλφοις, N-DPM 5569 ψευδάδελφος ! ψευδάδελφος
2CO 11:27.1 . κόπῳ κόπῳ N-DSM 2873 κόπος ! κόπος
2CO 11:27.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:27.3 . μόχθῳ, μόχθῳ, N-DSM 3449 μόχθος ! μόχθος
2CO 11:27.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:27.5 . ἀγρυπνίαις ἀγρυπνίαις N-DPF 70 ἀγρυπνία ! ἀγρυπνία
2CO 11:27.6 . πολλάκις, πολλάκις, ADV 4178 πολλάκις ! πολλάκις
2CO 11:27.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:27.8 . λιμῷ λιμῷ N-DSM 3042 λιμός ! λιμός
2CO 11:27.9 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:27.10 . δίψει, δίψει, N-DSN 1373 δίψος ! δίψος
2CO 11:27.11 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:27.12 . νηστείαις νηστείαις N-DPF 3521 νηστεία ! νηστεία
2CO 11:27.13 . πολλάκις, πολλάκις, ADV 4178 πολλάκις ! πολλάκις
2CO 11:27.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:27.15 . ψύχει ψύχει N-DSN 5592 ψύχος ! ψῦχος
2CO 11:27.16 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:27.17 . γυμνότητι· γυμνότητι· N-DSF 1132 γυμνότης ! γυμνότης
2CO 11:28.1 . χωρὶς χωρὶς ADV 5565 χωρίς ! χωρίς
2CO 11:28.2 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
2CO 11:28.3 . παρεκτὸς παρεκτὸς ADV 3924 παρεκτός ! παρεκτός
2CO 11:28.4 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 11:28.5 . ἐπίστασίς ἐπίστασίς N-NSF 1999 ἐπισύστασις ! ἐπίστασις
2CO 11:28.6 . μοι μοι P-1DS 1473 ἐγώ ! ἐγώ
2CO 11:28.7 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 11:28.8 . καθ’ καθ’ PREP 2596 κατά ! κατά
2CO 11:28.9 . ἡμέραν, ἡμέραν, N-ASF 2250 ἡμέρα ! ἡμέρα
2CO 11:28.10 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 11:28.11 . μέριμνα μέριμνα N-NSF 3308 μέριμνα ! μέριμνα
2CO 11:28.12 . πασῶν πασῶν A-GPF 3956 πᾶς ! πᾶς
2CO 11:28.13 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
2CO 11:28.14 . ἐκκλησιῶν. ἐκκλησιῶν. N-GPF 1577 ἐκκλησία ! ἐκκλησία
2CO 11:29.1 . τίς τίς I-NSM 5101 τίς ! τίς
2CO 11:29.2 . ἀσθενεῖ, ἀσθενεῖ, V-PAI-3S 770 ἀσθενέω ! ἀσθενέω
2CO 11:29.3 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:29.4 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 11:29.5 . ἀσθενῶ; ἀσθενῶ; V-PAI-1S 770 ἀσθενέω ! ἀσθενέω
2CO 11:29.6 . τίς τίς I-NSM 5101 τίς ! τίς
2CO 11:29.7 . σκανδαλίζεται, σκανδαλίζεται, V-PPI-3S 4624 σκανδαλίζω ! σκανδαλίζω
2CO 11:29.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:29.9 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 11:29.10 . ἐγὼ ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
2CO 11:29.11 . πυροῦμαι; πυροῦμαι; V-PPI-1S 4448 πυρόω ! πυρόω
2CO 11:30.1 . εἰ εἰ COND 1487 εἰ ! εἰ
2CO 11:30.2 . καυχᾶσθαι καυχᾶσθαι V-PNN 2744 καυχάομαι ! καυχάομαι
2CO 11:30.3 . δεῖ, δεῖ, V-PAI-3S 1163 δεῖ ! δεῖ
2CO 11:30.4 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2CO 11:30.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 11:30.6 . ἀσθενείας ἀσθενείας N-GSF 769 ἀσθένεια ! ἀσθένεια
2CO 11:30.7 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
2CO 11:30.8 . καυχήσομαι. καυχήσομαι. V-FDI-1S 2744 καυχάομαι ! καυχάομαι
2CO 11:31.1 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 11:31.2 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2CO 11:31.3 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:31.4 . πατὴρ πατὴρ N-NSM 3962 πατήρ ! πατήρ
2CO 11:31.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 11:31.6 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 11:31.7 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 11:31.8 . οἶδεν, οἶδεν, V-RAI-3S 1492 εἴδω ! οἶδα
2CO 11:31.9 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 11:31.10 . ὢν ὢν V-PAP-NSM 1510 εἰμί ! εἰμί
2CO 11:31.11 . εὐλογητὸς εὐλογητὸς A-NSM 2128 εὐλογητός ! εὐλογητός
2CO 11:31.12 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 11:31.13 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
2CO 11:31.14 . αἰῶνας, αἰῶνας, N-APM 165 αἰών ! αἰών
2CO 11:31.15 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 11:31.16 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 11:31.17 . ψεύδομαι. ψεύδομαι. V-PNI-1S 5574 ψεύδομαι ! ψεύδομαι
2CO 11:32.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:32.2 . Δαμασκῷ Δαμασκῷ N-DSF 1154 Δαμασκός ! Δαμασκός
2CO 11:32.3 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 11:32.4 . ἐθνάρχης ἐθνάρχης N-NSM 1481 ἐθνάρχης ! ἐθνάρχης
2CO 11:32.5 . Ἁρέτα Ἁρέτα N-GSM 702 Ἀρέτας ! Ἁρέτας
2CO 11:32.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 11:32.7 . βασιλέως βασιλέως N-GSM 935 βασιλεύς ! βασιλεύς
2CO 11:32.8 . ἐφρούρει ἐφρούρει V-IAI-3S 5432 φρουρέω ! φρουρέω
2CO 11:32.9 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 11:32.10 . πόλιν πόλιν N-ASF 4172 πόλις ! πόλις
2CO 11:32.11 . Δαμασκηνῶν Δαμασκηνῶν A-GPM 1153 Δαμασκηνός ! Δαμασκηνός
2CO 11:32.12 . πιάσαι πιάσαι V-AAN 4084 πιάζω ! πιάζω
2CO 11:32.13 . με, με, P-1AS 1473 ἐγώ ! ἐγώ
2CO 11:33.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:33.2 . διὰ διὰ PREP 1223 διά ! διά
2CO 11:33.3 . θυρίδος θυρίδος N-GSF 2376 θυρίς ! θυρίς
2CO 11:33.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 11:33.5 . σαργάνῃ σαργάνῃ N-DSF 4553 σαργάνη ! σαργάνη
2CO 11:33.6 . ἐχαλάσθην ἐχαλάσθην V-API-1S 5465 χαλάω ! χαλάω
2CO 11:33.7 . διὰ διὰ PREP 1223 διά ! διά
2CO 11:33.8 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 11:33.9 . τείχους τείχους N-GSN 5038 τεῖχος ! τεῖχος
2CO 11:33.10 . καὶ καὶ CONJ 2532 καί ! καί
2CO 11:33.11 . ἐξέφυγον ἐξέφυγον V-2AAI-1S 1628 ἐκφεύγω ! ἐκφεύγω
2CO 11:33.12 . τὰς τὰς T-APF 3588 ὁ ! ὁ
2CO 11:33.13 . χεῖρας χεῖρας N-APF 5495 χείρ ! χείρ
2CO 11:33.14 . αὐτοῦ. αὐτοῦ. P-GSM 846 αὐτός ! αὐτός
2CO 12:1.1 C Καυχᾶσθαι Καυχᾶσθαι V-PNN 2744 καυχάομαι ! καυχάομαι
2CO 12:1.2 . δεῖ, δεῖ, V-PAI-3S 1163 δεῖ ! δεῖ
2CO 12:1.3 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 12:1.4 . συμφέρον συμφέρον V-PAP-ASN 4851 συμφέρω ! συμφέρω
2CO 12:1.5 . μέν, μέν, PRT 3303 μέν ! μέν
2CO 12:1.6 . ἐλεύσομαι ἐλεύσομαι V-FDI-1S 2064 ἔρχομαι ! ἔρχομαι
2CO 12:1.7 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 12:1.8 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 12:1.9 . ὀπτασίας ὀπτασίας N-APF 3701 ὀπτασία ! ὀπτασία
2CO 12:1.10 . καὶ καὶ CONJ 2532 καί ! καί
2CO 12:1.11 . ἀποκαλύψεις ἀποκαλύψεις N-APF 602 ἀποκάλυψις ! ἀποκάλυψις
2CO 12:1.12 . κυρίου. κυρίου. N-GSM 2962 κύριος ! κύριος
2CO 12:2.1 . οἶδα οἶδα V-RAI-1S 1492 εἴδω ! οἶδα
2CO 12:2.2 . ἄνθρωπον ἄνθρωπον N-ASM 444 ἄνθρωπος ! ἄνθρωπος
2CO 12:2.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 12:2.4 . Χριστῷ Χριστῷ N-DSM 5547 Χριστός ! Χριστός
2CO 12:2.5 . πρὸ πρὸ PREP 4253 πρό ! πρό
2CO 12:2.6 . ἐτῶν ἐτῶν N-GPN 2094 ἔτος ! ἔτος
2CO 12:2.7 . δεκατεσσάρων δεκατεσσάρων A-GPN 1180 δεκατέσσαρες ! δεκατέσσαρες
2CO 12:2.8 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 12:2.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 12:2.10 . σώματι σώματι N-DSN 4983 σῶμα ! σῶμα
2CO 12:2.11 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 12:2.12 . οἶδα, οἶδα, V-RAI-1S 1492 εἴδω ! οἶδα
2CO 12:2.13 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 12:2.14 . ἐκτὸς ἐκτὸς ADV 1622 ἐκτός ! ἐκτός
2CO 12:2.15 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 12:2.16 . σώματος σώματος N-GSN 4983 σῶμα ! σῶμα
2CO 12:2.17 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 12:2.18 . οἶδα, οἶδα, V-RAI-1S 1492 εἴδω ! οἶδα
2CO 12:2.19 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 12:2.20 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2CO 12:2.21 . οἶδεν οἶδεν V-RAI-3S 1492 εἴδω ! οἶδα
2CO 12:2.22 . ἁρπαγέντα ἁρπαγέντα V-2APP-ASM 726 ἁρπάζω ! ἁρπάζω
2CO 12:2.23 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 12:2.24 . τοιοῦτον τοιοῦτον D-ASM 5108 τοιοῦτος ! τοιοῦτος
2CO 12:2.25 . ἕως ἕως ADV 2193 ἕως ! ἕως
2CO 12:2.26 . τρίτου τρίτου A-GSM 5154 τρίτος ! τρίτος
2CO 12:2.27 . οὐρανοῦ. οὐρανοῦ. N-GSM 3772 οὐρανός ! οὐρανός
2CO 12:3.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 12:3.2 . οἶδα οἶδα V-RAI-1S 1492 εἴδω ! οἶδα
2CO 12:3.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 12:3.4 . τοιοῦτον τοιοῦτον D-ASM 5108 τοιοῦτος ! τοιοῦτος
2CO 12:3.5 . ἄνθρωπον ἄνθρωπον N-ASM 444 ἄνθρωπος ! ἄνθρωπος
2CO 12:3.6 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 12:3.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 12:3.8 . σώματι σώματι N-DSN 4983 σῶμα ! σῶμα
2CO 12:3.9 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 12:3.10 . χωρὶς χωρὶς ADV 5565 χωρίς ! χωρίς
2CO 12:3.11 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 12:3.12 . σώματος σώματος N-GSN 4983 σῶμα ! σῶμα
2CO 12:3.13 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 12:3.14 . οἶδα, οἶδα, V-RAI-1S 1492 εἴδω ! οἶδα
2CO 12:3.15 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 12:3.16 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2CO 12:3.17 . οἶδεν οἶδεν V-RAI-3S 1492 εἴδω ! οἶδα
2CO 12:4.1 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 12:4.2 . ἡρπάγη ἡρπάγη V-2API-3S 726 ἁρπάζω ! ἁρπάζω
2CO 12:4.3 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 12:4.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 12:4.5 . παράδεισον παράδεισον N-ASM 3857 παράδεισος ! παράδεισος
2CO 12:4.6 . καὶ καὶ CONJ 2532 καί ! καί
2CO 12:4.7 . ἤκουσεν ἤκουσεν V-AAI-3S 191 ἀκούω ! ἀκούω
2CO 12:4.8 . ἄρρητα ἄρρητα A-APN 731 ἄῤῥητος ! ἄρρητος
2CO 12:4.9 . ῥήματα ῥήματα N-APN 4487 ῥῆμα ! ῥῆμα
2CO 12:4.10 . ἃ ἃ R-APN 3739 ὅς ! ὅς
2CO 12:4.11 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 12:4.12 . ἐξὸν ἐξὸν V-PAP-NSN 1832 ἔξεστι ! ἔξεστι(ν)
